Target,Clues
charles de gaulle,president france world war
charles dickens,writer author christmas carol oliver twist
charlie chaplin,actor hollywood usa silent movie
charlie sheen,actor hollywood usa two half men hot shot
ernesto che guevara,revolution cuba fidel castro
chris evans,actor hollywood usa avenger marvel
chris hemsworth,actor hollywood usa thor
chris pratt,actor hollywood usa guardian galaxy jurassic park
christian bale,actor hollywood batman dark knight american psycho
christoph waltz,actor django unchain inglorious basterds
christopher columbus,italy explorer atlantic ocean america
christopher nolan,director inception interstellar dunkirk prestige
christopher walken,actor hollywood usa psycho
chuck norris,actor roundhouse kick walker texas ranger
clint eastwood,actor hollywood million dollar baby gran turino
colin firth,actor hollywood single man kingsman
dame elizabeth taylor,actress one born every minute hollywood national velvet
daniel day lewis,actor blood gang new york
daniel radcliffe,actor harry potter mage hogwarts
danny devito,actor hollywood twin batman
david hasselhoff,knight rider baywatch
demi moore,actor hollywood g jane charlies angel
denzel washington,actor hollywood book eli training day
diane keaton,actress manhattan
diane kruger,actress inglorious basterds unknown identity
dr stephen hawk,physicist dead
dustin hoffman,actor hollywood tootsie rain man
dwayne rock johnson,actor hollywood usa fast furious wrestling
eddie murphy,actor hollywood usa beverly hill cop
edgar allan poe,author poet boston
edward norton,actor hollywood usa fight club american history x
ellen page,schauspielerin juno inception hard candy x men
elvis presley,singer rock jailhouse rock la vega
elyas barek,actor germany
eminem,rapper slim shady detroit without
emma stone,actress zombieland la la land
emma watson,actor hogwarts harry potter hermine
ernest hemingway,author nobel price old man sea
federico fellini,italia director screenwriter la strada
felicity jones,actress star war rogue one like crazy inferno theory everything
fidel castro,che guevara cuba
frank sinatra,singer swing jazz new york new york
freddie mercury,queen singer rock rock
galileo galilei,philosopher astrologer inventor church
geena davis,actress thelma louise
gene hackman,actor hollywood french connection
gene kelly,actor singin rain
general dwight eisenhower,world war president usa invasion normandy
geoffrey rush,actor shine pirate caribbean
george clooney,actor hollywood michael clayton dusk till dawn
george washington,first president usa u constitution
gerard depardieu,actor france man iron mask danton
glenn close,actress fatal attraction
grigorij rasputin,russia charlatan
harrison ford,han solo star war indiana jones actor hollywood
harry houdini,illusionist stunt performer escape performance
hayley atwell,actress marvel captain america peggy carter
heath ledger,actor hollywood usa batman joker
helen mirren,actress red queen
hugh grant,actor hollywood england
hugh jackman,wolverine actor hollywood usa
humphrey bogart,actor casablanca treasure sierra madre
ian mckellen,gandalf lord ring actor hollywood usa
jack nicholson,actor hollywood shin good get
jackie chan,actor china kung fu karate
jake gyllenhaal,actor hollywood usa nightcrawler
james dean,actor cigarette icon rebel without cause
jamie lee curtis,alien actor hollywood usa
janis joplin,singer rock soul piece heart
jared leto,actor dallas buyer club suicide squad
jean reno,actor france leon ronin wasabi
jeff bridge,actor big lebowski dude bowling
jennifer aniston,friend actress hollywood usa
jennifer lawrence,actress hollywood hunger game silver lining american hustle x men
jim carrey,actor hollywood ace ventura comedy bruce almighty
jim morrison,singer door rock
jimi hendrix,singer rock woodstock e gitarre
joaquin phoenix,actor joker batman walk line
jodie foster,actor hollywood silence lamb taxi driver
john f kennedy,president usa murder vietnam
john goodman,big lebowski actor hollywood usa
john lennon,singer activist beatles paul mccartney
john wayne,true grit actor alamo
johnny depp,pirate caribbean fear loathe la vega charlie cholocate factory actor hollywood
josef stalin,russia world war soviet union communist
joseph gordon levitt,actor inception looper jon snowden
julianne moore,actress far heaven kid right
justin bieber,singer pop teenie star one time
karl lagerfeld,designer fashion suit germany fashionzar
kat dennings,two break girl actress hollywood usa
kate beckinsale,actress hollywood underworld aviator
kate winslet,titanic leonardo dicaprio actress hollywood
keira knightley,actress pirate caribbean atonement immitation game
kevin james,king queen doug actor hollywood comedy
kevin spacey,actor hollywood usual suspect la confidential seven house card
kiefer sutherland,h actor hollywood usa
kristen stewart,twilight actor bella snow white huntsman
kurt cobain,singer nirvana rock suicide smell like teen spirit
lance armstrong,sport road race cyclist tour de france dope
leonardo da vinci,artist inventor last supper mona lisa italia renaissance
leonardo dicaprio,titanic wolf wallstreet inception beach actor
liam neeson,star war actor hollywood schindlers list hour
louis armstrong,musician jazz trumpet
ludwig van beethoven,german composer vienna violin concerto classic
maggie smith,harry potter prof mcgonnagall actress hogwarts
mahatma gandhi,india buddhism peace
malcolm x,black muslim activist human civil right nation islam
margot robbie,actress wolf wallstreet suicide squad
marie antoinette,france queen revolution
marie curie,polish physicist chemist radioactivity
marilyn monroe,icon actress hollywood dead
mark twain,author writer humorist publisher tom sawyer huckleberry finn
mark wahlberg,actor hollywood marky mark calvin klein ted boogie night
marlene dietrich,actress singer germany silent film
marlon brando,actor godfather mafia apocalypse
martin lawrence,actor black bad boy big momma house
martin luther king,civil right movement black dream activist
matt damon,jason bourne actor good hunting martian talented mr rippley
matthew mcconaughey,actor dallas buyer club interstellar lincoln wolf wall street
matthew perry,friend chandler bing actor whole nine yard studio
matthias schweigh fer,actor germany till schweiger want
mel gibson,actor braveheart leathal weapon martin riggs hacksaw ridge passion christ
meryl streep,actress devil wear prada africa
mette marit,princess norway queen royal scandinavia
michael caine,batman actor dark knight cutter prestige
michael douglas,actor wall street basic instinct hank pym marvel
michael j fox,marty back future doc actor hollywood pakinson
michael jackson,singer white beat billie jean thriller
michael jordan,basketball nba space jam chicago bull
michelangelo,painter artist italy sistine chapel renaissance
michelle pfeiffer,actress hairspray maleficent one fine day
mick jagger,singer roll stone rock keith richards
mike myers,actor austin power goldmember spy
mila kunis,actress black swan bad mom jupiter ascend
mile davis,musician jazz trumpeter blue blue green
miranda richardson,actress cry game spider sleepy hollow
mona lisa,art paint louvre paris leonardo davinci
monica bellucci,actress malena brotherhood wolf matrix shoot em
morgan freeman,actor se en million dollar baby lucky number slevin black shawshank redemption
mother teresa,catholic church holy nun missionary calcutta
muhammad ali,boxer activist great heavyweight
naomi watt,actress mulholland drive king kong birdman
napoleon bonaparte,frankreich french revolution small military commander poison
natalie portman,star war anakin skywalker padme amidalla actress black swan v vendetta leon der profi
neil armstrong,astronaut moon land usa nasa one small step
nelson mandela,revolutionary black south africa nobel peace price
nicola tesla,inventor engineer tesla coil electricity futurist
nicolas cage,rock actor face leave la vega con air
nicole kidman,actor moulin rouge dogville
orson welles,actor citizen kane touch evil lady shanghai
owen wilson,actor wed crasher night museum starsky hutch royal tenenbaums
pablo picasso,artist paint spain
patrick stewart,star trek picard actor wolverine charles
paul walker,fast furious car crash actor hollywood dead
peter seller,actor dr strangelove inspector clouseau pink panther
pope john paul ii,catholic church vatican representative god bishop rome
prinzessin diana,great britain united kingdom queen royal paris car crash
rachel weisz,actress mummy constant gardener favourite
ramus malek,mr robot freddie mercury queen actor oscar elliot alderson fsociety
rembrandt,artist painter dutch netherlands portrait
richard gere,pretty woman actor chicago jackal
robert de niro,actor taxi driver cape fear irishman joker rag bull
robert downey jr,ironman avenger actor marvel sherlock holmes
robert pattinson,twilight vampire actor edward bella
robert redford,actor natural butch cassidy sundance kid
robin williams,actor mr doubtfire comedy suicide good morning vietnam good hunting
ronald reagan,united state america president actor hollywood governor california
rowan atkinson,mr bean mini teddy actor england great britain
russell crowe,actor beautiful mind le miserables gladiator la confidential
salvador dali,artist painter surrealism clock raven
samuel l jackson,pulp fiction jules winnfield actor hateful eight captain marvel glass nick fury
scarlett johansson,actress lose translation avenger natasha romanoff skin sing
sean connery,actor rock james bond hunt red october
sean penn,actor mystic river milk dead men walk
shahrukh khan,actor bollywood india dancing
sir isaac newton,mathematician astronomer physicist gravity apple
stanley kubrick,director space odyssey eye wide shut clockwork orange barry lyndon
steve job,apple macbook iphone ipad ipod dead
susan sarandon,actress thelma louise dead men walk stepmom
sylvester stallone,rambo rocky action actor expandables
tim allen,home improvement actor toy story galaxy quest santa clause
tobey maguire,spiderman actor brother wonder boy pleasantville
tom cruise,top gun scientology actor last samurai jerry maguire minority report
tom hank,forrest gump cast away wilson save private ryan actor big inferno
tom hardy,mad max inception actor dark knight taboo
tommy lee jones,actor country old men homesman lincoln
uma thurman,kill bill actor pulp fiction batman robin
vin diesel,riddick fast furious actor triple x groot
vincent van gogh,artist painter painting ear brush technique dutch
vladimir lenin,russia revolutionary politician soviet union karl marx communist
walt disney,animatic donald duck mickey mouse bambi lion king theme park
warren buffet,hedgefonds investment finance business tycoon billionaire rich
smith,independence day bad boy actor fresh prince bel air men black legend robot wild wild west
william shakespeare,playwright peot writer hamlet romeo juliet othello macbeth
william shatner,star trek captain kirk actor spock enterprise
winston churchill,army officer prime minister united kingdom great britain world war ii
wolfgang amadeus mozart,composer austria piano eine kleine nacht musik marriage figaro magic flute
woody allen,director actor writer manhattan midnight paris annie hall
woody harrelson,zombieland actor true detective natural bear killer larry flint
